pos	5pC>T
1	0.0166044349189871
2	0.00614337487845841
3	0.00471552906277111
4	0.00938874898045449
5	0.00746934225195095
6	0.00858552528204645
7	0.00531029999889828
8	0.00538494097728448
9	0.00895181517254505
10	0.00779276044575654
11	0.00777545730981422
12	0.00835405948689994
13	0.00869987175487851
14	0.00864873112641574
15	0.00857183039167428
16	0.00854580025870661
17	0.00857319541263773
18	0.00867659647320664
19	0.00835427179887812
20	0.0081367582713357
21	0.0087966171208757
22	0.00858608700568166
23	0.00904860212043808
24	0.00905102811640204
25	0.00862344298946024
