# table produced by mapDamage version 2.0.0
# using mapped file SLVi33.25.hg19.bam and /home/bio/database/hg19/hg19_all.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	17	23
+	18	26
+	19	39
+	20	37
+	21	64
+	22	54
+	23	79
+	24	93
+	25	121
+	26	121649
+	27	175647
+	28	237154
+	29	297217
+	30	352474
+	31	415616
+	32	477051
+	33	526062
+	34	567887
+	35	605493
+	36	648507
+	37	666505
+	38	677913
+	39	685600
+	40	673659
+	41	673315
+	42	657541
+	43	650132
+	44	631546
+	45	619690
+	46	619072
+	47	595989
+	48	595867
+	49	588963
+	50	537722
+	51	519848
+	52	500133
+	53	479434
+	54	462381
+	55	446221
+	56	430220
+	57	413561
+	58	392346
+	59	371795
+	60	353921
+	61	340224
+	62	320899
+	63	309448
+	64	294761
+	65	280378
+	66	270662
+	67	258028
+	68	244636
+	69	230433
+	70	219758
+	71	210349
+	72	192259
+	73	189609
+	74	181667
+	75	159910
+	76	153984
+	77	147235
+	78	135806
+	79	128586
+	80	122274
+	81	117032
+	82	111311
+	83	107679
+	84	101433
+	85	97416
+	86	93138
+	87	68750
+	88	64272
+	89	60551
+	90	57773
+	91	54697
+	92	51944
+	93	49623
+	94	47022
+	95	45057
+	96	42957
+	97	40558
+	98	38221
+	99	36103
+	100	34170
+	101	32642
+	102	31322
+	103	29724
+	104	28076
+	105	27095
+	106	25600
+	107	24407
+	108	23008
+	109	21395
+	110	20403
+	111	19502
+	112	18853
+	113	18028
+	114	16891
+	115	16103
+	116	15576
+	117	14986
+	118	13703
+	119	12777
+	120	12408
+	121	11705
+	122	11159
+	123	10726
+	124	10321
+	125	9892
+	126	9518
+	127	9234
+	128	8263
+	129	7659
+	130	7519
+	131	7116
+	132	6866
+	133	6536
+	134	6171
+	135	5994
+	136	5574
+	137	331
+	138	136
+	139	74
+	140	43
+	141	34
+	142	24
+	143	24
+	144	19
+	145	14
+	146	10
+	147	7
+	148	11
+	149	1
+	150	4
+	151	5
+	152	1
+	153	2
+	155	1
-	17	7
-	18	2
-	19	14
-	20	13
-	21	9
-	22	13
-	23	11
-	24	49
-	25	83
-	26	19190
-	27	25590
-	28	33765
-	29	38836
-	30	43728
-	31	50155
-	32	54406
-	33	57360
-	34	58737
-	35	59959
-	36	62248
-	37	60623
-	38	58730
-	39	57684
-	40	53539
-	41	53164
-	42	50062
-	43	47382
-	44	44209
-	45	43156
-	46	41672
-	47	38129
-	48	37277
-	49	37485
-	50	31612
-	51	30086
-	52	28538
-	53	26446
-	54	24580
-	55	23363
-	56	21922
-	57	20480
-	58	19306
-	59	17673
-	60	16535
-	61	15419
-	62	14473
-	63	13948
-	64	12824
-	65	12043
-	66	11156
-	67	10620
-	68	10063
-	69	9072
-	70	8515
-	71	8065
-	72	7300
-	73	7442
-	74	7100
-	75	5688
-	76	5532
-	77	5302
-	78	4781
-	79	4293
-	80	4179
-	81	3997
-	82	3749
-	83	3605
-	84	3381
-	85	3326
-	86	3126
-	87	2205
-	88	2032
-	89	1832
-	90	1828
-	91	1732
-	92	1706
-	93	1535
-	94	1494
-	95	1323
-	96	1280
-	97	1231
-	98	1159
-	99	1047
-	100	992
-	101	905
-	102	899
-	103	863
-	104	799
-	105	747
-	106	733
-	107	722
-	108	615
-	109	597
-	110	560
-	111	534
-	112	502
-	113	464
-	114	434
-	115	430
-	116	427
-	117	394
-	118	359
-	119	332
-	120	375
-	121	319
-	122	287
-	123	301
-	124	316
-	125	254
-	126	283
-	127	269
-	128	222
-	129	205
-	130	203
-	131	205
-	132	188
-	133	176
-	134	146
-	135	175
-	136	163
-	137	23
-	138	9
-	139	3
-	140	4
-	141	1
-	143	1
-	144	1
-	145	1
-	150	1
