# table produced by mapDamage version 2.0.0
# using mapped file pang133.merge.rmdup.sort.rmdup.realigned.baq.bam and /home/bio/database/GRCh37/hs37d5.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	19	2
+	20	365
+	21	597
+	22	524
+	23	320
+	24	188
+	25	86
+	26	85
+	27	51
+	28	52
+	29	32
+	30	36
+	31	43
+	32	69
+	33	65
+	34	60
+	35	65
+	36	90
+	37	121
+	38	106
+	39	150
+	40	177
+	41	203
+	42	217
+	43	250
+	44	259
+	45	285
+	46	334
+	47	322
+	48	403
+	49	423
+	50	453
+	51	510
+	52	531
+	53	589
+	54	630
+	55	632
+	56	677
+	57	699
+	58	777
+	59	728
+	60	816
+	61	862
+	62	876
+	63	913
+	64	939
+	65	981
+	66	1018
+	67	992
+	68	1083
+	69	1047
+	70	1146
+	71	1125
+	72	1149
+	73	1150
+	74	1178
+	75	1204
+	76	1232
+	77	1251
+	78	1280
+	79	1320
+	80	1281
+	81	1322
+	82	1338
+	83	1395
+	84	1379
+	85	1349
+	86	1374
+	87	1387
+	88	1367
+	89	1378
+	90	1388
+	91	1360
+	92	1406
+	93	1423
+	94	1382
+	95	1358
+	96	1402
+	97	1385
+	98	1401
+	99	1436
+	100	1556
+	101	1479
+	102	2366
+	103	1509
+	104	1425
+	105	1393
+	106	1354
+	107	1311
+	108	1386
+	109	1330
+	110	1366
+	111	1297
+	112	1358
+	113	1326
+	114	1276
+	115	1204
+	116	1293
+	117	1278
+	118	1225
+	119	1266
+	120	1283
+	121	1196
+	122	1297
+	123	1292
+	124	1252
+	125	1279
+	126	1230
+	127	1263
+	128	1204
+	129	1217
+	130	1175
+	131	1236
+	132	1232
+	133	1187
+	134	1208
+	135	1206
+	136	1214
+	137	1202
+	138	1175
+	139	1176
+	140	1168
+	141	1211
+	142	1195
+	143	1186
+	144	1178
+	145	1155
+	146	1165
+	147	1092
+	148	1170
+	149	1134
+	150	1085
+	151	1109
+	152	1070
+	153	1047
+	154	1080
+	155	1053
+	156	1055
+	157	1019
+	158	1012
+	159	976
+	160	1003
+	161	1014
+	162	958
+	163	957
+	164	939
+	165	921
+	166	990
+	167	903
+	168	934
+	169	868
+	170	897
+	171	852
+	172	842
+	173	801
+	174	821
+	175	876
+	176	825
+	177	772
+	178	799
+	179	833
+	180	740
+	181	811
+	182	771
+	183	709
+	184	707
+	185	732
+	186	707
+	187	643
+	188	696
+	189	649
+	190	652
+	191	594
+	192	174
+	193	61
+	194	49
+	195	24
+	196	9
+	197	1
-	19	2
-	20	344
-	21	617
-	22	543
-	23	327
-	24	169
-	25	95
-	26	83
-	27	45
-	28	39
-	29	36
-	30	36
-	31	48
-	32	73
-	33	73
-	34	63
-	35	74
-	36	83
-	37	106
-	38	121
-	39	144
-	40	180
-	41	210
-	42	218
-	43	211
-	44	257
-	45	330
-	46	344
-	47	348
-	48	386
-	49	448
-	50	458
-	51	511
-	52	577
-	53	576
-	54	585
-	55	626
-	56	645
-	57	726
-	58	711
-	59	746
-	60	859
-	61	821
-	62	857
-	63	880
-	64	943
-	65	964
-	66	1024
-	67	1015
-	68	1051
-	69	1088
-	70	1102
-	71	1111
-	72	1185
-	73	1155
-	74	1209
-	75	1168
-	76	1311
-	77	1278
-	78	1301
-	79	1318
-	80	1261
-	81	1380
-	82	1369
-	83	1413
-	84	1333
-	85	1307
-	86	1438
-	87	1414
-	88	1369
-	89	1342
-	90	1373
-	91	1486
-	92	1397
-	93	1422
-	94	1398
-	95	1447
-	96	1395
-	97	1422
-	98	1331
-	99	1440
-	100	1432
-	101	1493
-	102	2285
-	103	1514
-	104	1417
-	105	1429
-	106	1383
-	107	1306
-	108	1348
-	109	1352
-	110	1294
-	111	1260
-	112	1335
-	113	1328
-	114	1331
-	115	1242
-	116	1186
-	117	1225
-	118	1229
-	119	1286
-	120	1250
-	121	1282
-	122	1236
-	123	1158
-	124	1221
-	125	1240
-	126	1189
-	127	1198
-	128	1225
-	129	1248
-	130	1184
-	131	1180
-	132	1158
-	133	1190
-	134	1211
-	135	1147
-	136	1171
-	137	1166
-	138	1169
-	139	1084
-	140	1133
-	141	1150
-	142	1103
-	143	1112
-	144	1075
-	145	1102
-	146	1110
-	147	1102
-	148	1130
-	149	1092
-	150	1062
-	151	1090
-	152	1047
-	153	1060
-	154	1025
-	155	1014
-	156	1049
-	157	999
-	158	958
-	159	972
-	160	944
-	161	901
-	162	973
-	163	918
-	164	935
-	165	949
-	166	906
-	167	872
-	168	896
-	169	875
-	170	812
-	171	881
-	172	817
-	173	810
-	174	798
-	175	787
-	176	822
-	177	803
-	178	768
-	179	739
-	180	770
-	181	776
-	182	700
-	183	713
-	184	694
-	185	733
-	186	632
-	187	688
-	188	633
-	189	576
-	190	542
-	191	512
-	192	144
-	193	81
-	194	46
-	195	19
-	196	10
-	197	4
-	198	2
