pos	5pG>A
1	0.00470121483557584
2	0.0051354681863043
3	0.00547824444304515
4	0.0054891075522011
5	0.00555001147358141
6	0.00505569883325885
7	0.00514682816080648
8	0.00468182936983834
9	0.00450039305894829
10	0.004346839836888
11	0.00437176336578317
12	0.00417227671135189
13	0.00393942278202566
14	0.0040774773444176
15	0.00389922173855692
16	0.00397807311424034
17	0.00379918446275433
18	0.00384993104601112
19	0.00380627515417494
20	0.00386864316322758
21	0.00337714779314579
22	0.00362045557399306
23	0.00324061994468507
24	0.00320576514763255
25	0.00343925116939743
