# table produced by mapDamage version 2.0.0
# using mapped file SLVi33.26.hg19.bam and /home/bio/database/hg19/hg19_all.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	17	10
+	18	22
+	19	15
+	20	23
+	21	27
+	22	32
+	23	31
+	24	72
+	25	110
+	26	143069
+	27	215230
+	28	296175
+	29	372632
+	30	446658
+	31	530287
+	32	614175
+	33	675753
+	34	731851
+	35	779481
+	36	816707
+	37	830435
+	38	836395
+	39	833437
+	40	810217
+	41	797173
+	42	773642
+	43	757881
+	44	733513
+	45	709411
+	46	699251
+	47	659927
+	48	662810
+	49	652908
+	50	585705
+	51	559395
+	52	535370
+	53	506159
+	54	481460
+	55	460999
+	56	440841
+	57	421489
+	58	387450
+	59	365241
+	60	348159
+	61	331580
+	62	315798
+	63	301397
+	64	286733
+	65	272637
+	66	260276
+	67	249695
+	68	220009
+	69	207469
+	70	199190
+	71	189568
+	72	179477
+	73	171895
+	74	162762
+	75	154354
+	76	148174
+	77	140738
+	78	124156
+	79	116676
+	80	111181
+	81	106957
+	82	102520
+	83	97636
+	84	92355
+	85	87755
+	86	83231
+	87	3160
+	88	1070
+	89	548
+	90	430
+	91	234
+	92	194
+	93	118
+	94	94
+	95	45
+	96	26
+	97	10
+	98	5
-	17	2
-	18	1
-	20	4
-	21	5
-	22	12
-	23	15
-	24	33
-	25	75
-	26	21895
-	27	30551
-	28	40093
-	29	46390
-	30	52245
-	31	60383
-	32	65966
-	33	69170
-	34	70982
-	35	71901
-	36	74122
-	37	70799
-	38	68616
-	39	67125
-	40	61347
-	41	59969
-	42	55976
-	43	52865
-	44	49366
-	45	46572
-	46	45247
-	47	39749
-	48	41104
-	49	41466
-	50	31254
-	51	29632
-	52	28271
-	53	25617
-	54	23517
-	55	22536
-	56	20679
-	57	19852
-	58	17506
-	59	16102
-	60	15334
-	61	14336
-	62	13427
-	63	12735
-	64	11870
-	65	11099
-	66	10450
-	67	9867
-	68	8757
-	69	7948
-	70	7556
-	71	7239
-	72	6745
-	73	6499
-	74	6059
-	75	5541
-	76	5379
-	77	5121
-	78	4504
-	79	4003
-	80	4149
-	81	3855
-	82	3876
-	83	3813
-	84	3456
-	85	3406
-	86	2972
-	87	203
-	88	68
-	89	31
-	90	17
-	91	5
-	92	6
-	93	6
-	94	5
-	95	2
-	96	1
-	97	1
