pos	5pC>T
1	0.0164869361988594
2	0.00610451538620293
3	0.00413939160569888
4	0.00933900312197223
5	0.00747721495442991
6	0.00868834479909983
7	0.00483653951052766
8	0.00630812252064772
9	0.00962717406112347
10	0.00807038925137107
11	0.00872291127163691
12	0.00799648639234276
13	0.00821449997692556
14	0.00836102310486052
15	0.008578923005709
16	0.00909750252270434
17	0.00872638558738897
18	0.00886321612494079
19	0.00921463667331209
20	0.00851011536275519
21	0.00823116239691449
22	0.00888833249874812
23	0.00853027548594602
24	0.00962504055494616
25	0.00896966650434346
